comment_id,label_pass1,label2,text,notes
Ugwxvlfa6VGlqO1UeGB4AaABAg,Negatif,Netral,Ini bang hotman dari pertams narasinya suryo  kebenycian,"ambigu, tak sentuh klaim"
UgwFn185GeRvSRWkJoF4AaABAg,Negatif,Netral,"Refli Harun cs ketemu lawan, enaknya nonton TV sambil ngopi dan lihat rrt nanti cengar cengir","OOT, tak ada verdict"
UgyyCiN8JiBf2ebDXqh4AaABAg,Negatif,Positif,"Mending di kuliaih, dari pada membela kebohongan.",membela = membela kebohongan
Ugxzl-nQ392wB-sr2WR4AaABAg,Negatif,Netral,Petantang petenteng eh udah disemprot hakim😂😂😂,"olok, tak sentuh klaim"
UgynOp7UTvf2LvnG4V54AaABAg,Negatif,Netral,Benar Bu kami dukung ibu rektor,"dukung rektor, tanpa verdict"
Ugw4ziVcuSpqWXA1Mqt4AaABAg,Positif,Netral,"Jelas dan setuju penjelasan Profesor , perlu kepersidangan, keadilan harus dibuktikan yg sebenarnya, karena isu ijazah palsu sudah meracuni pelajar dan mahasiswa malas belajar","prosedural, perlu persidangan"
UgxCATpdW5txbyJgorZ4AaABAg,Negatif,Positif,"MK berdiri tegak lurus kepada KEBENARAN BUKAN MEMBELA KEPALSUAN, yang merusak bangsa dan negara dan Hukum. Semoga Allah SWT melindungi kebenaran diatas kepalsuan.",sebut kepalsuan dibela
Ugz46TnVQ-HS0LlCY6J4AaABAg,Negatif,Netral,Kebongkar akhirnya kebohongan para termul di episode ini,"serang termul/buzzer, tanpa verdict"
Ugwe8V_kZxZToLhDmOJ4AaABAg,Negatif,Netral,Lebih baik menyeeah saja pak Roy,"suruh Roy menyerah, tanpa klaim"
UgxxZNSpceULqyY3brl4AaABAg,Negatif,Netral,"Tiap tampil di tv.. knp muka roy suryo tampak selalu tambah tua, kuyu, auranya gelap, walopun berusaha semangat tp sprtnya ada kputusasaan di alam bawahsadarnya,, smoga kebencianya tdk pernah dia bwa sampai keliang lahat, dan beliau sempat bertobat atas smua fitnahanya dan smua kt2 buruknya kepd org2 yg sdh dia sakiti..","serang karakter Roy, fitnah generik"
UgyzjtcosNsTKLOfXE94AaABAg,Negatif,Netral,Razman ini pinter😂mau ngegiring inti permasalahan ke yg lain wk bukan ke substansi ijazah😂,serang Razman alihkan isu
Ugx4C_TKxC-2n6vzTmV4AaABAg,Negatif,Netral,"😂😂😂
Om roy & om rismon sewot ga dapat sp3","olok penuduh, tanpa verdict"
UgwCugCbo05msuhbCUF4AaABAg,Positif,Netral,Termul ketahuan ngibul di depan publik. Tp bisa dipastikan ga malu.,"serang termul ngibul, tanpa verdict"
Ugw_t0236jJXffSXFDZ4AaABAg,Negatif,Netral,"Kita dipaksa untuk percaya bahwa UGM seburuk itu kualitasnya, ada skripsi yang tidak ada tanda tangannya.",sarkasme arah ambigu (contoh rubrik)
UgwZkUHUG3G8jtRwlLt4AaABAg,Negatif,Netral,"Aneh kok udah liat banyak lagi alasan nya yah,apakah Roy ini mmng sengaja buat gaduh","spekulasi motif Roy, tanpa verdict"
Ugy98PpLFwDz72xxFsZ4AaABAg,Negatif,Netral,Hahaha kuliah gratis dari hakim MK sebelum di bui 😂,"olok, tanpa klaim"
UgxvOTEi1AR1vzjQ4AZ4AaABAg,Negatif,Netral,"Suru Rokygerun , Roysurio dgn kumpulan yg ahli itu buka Tenga , buka hati dan mendengar berita nyata ini agar jgn sampe mau menimbulkan kegadohan demi politik buruk mereka","motif politik penuduh, tanpa verdict"
Ugxn5T0Qm0J63SlqcFJ4AaABAg,Negatif,Netral,"Omong opo koe?penjarahkan Roy Rismon Tiva....
Kami Rakyat indonesia mendukung",penjara penuduh tanpa kata isu
Ugz_-2tnXtxB4MLfDdZ4AaABAg,Negatif,Netral,"Sehat selalu Pak Jokowi dan Bu Iriana

Salut dgn Aiman yg tampil di posisi netral","doa sehat Jokowi, OOT"
Ugw6haicCqaJA9OyM_h4AaABAg,Negatif,Netral,Harun jauh sekali dari pemikiran hukum dari para Hakim Mahkamah 😂😂😂😂,serang kompetensi Harun
Ugwb9cKzm77HMkF21iF4AaABAg,Positif,Netral,"udah jelas kegap BOHONG, cuman emang udah putus urat malu si andi azwan. lalu joshua sinambela sok turun mau bantu tp tidak siap. ikut tergagap-gagap lah… the real dumb n dumber jadinya…

parah termul! wkwkw","serang pembela bohong, tanpa verdict"
UgzTAhG4ubS85V1lMzJ4AaABAg,Negatif,Netral,Bapak tanya teman atau keluarga bapak yg berprofesi sebagai hakim bisa apa hakim menilai atau menyatakan sebuah ijazah asli atau palsu TDK bisa pakkkk,prosedural hakim tak bisa nilai
UgyIf9QJJKSdFT3h-eN4AaABAg,Negatif,Netral,Dulu dua orang di penjara Gus nur dan Bambang Tri kasus ijazah nya Jokowi.....sekarang ada 8 orang yg di ancam mendekam di penjara......,info siapa dipenjara
UgwJw-Wvtn0J5mLlo9t4AaABAg,Negatif,Netral,GOOD JOBS SELURUH TEAM PERADI RI 🇮🇩 DAN SELURUH TEAM JOKOWI SE INDONESIA 🇮🇩.👌🏻🙏🏻👍🏻💯🇮🇩,"puji tim Jokowi, tanpa verdict"
UgzaN5XaazV15vZuN1x4AaABAg,Positif,Netral,"Maling motor barang bukti yang ditahan motor hasil curian, bukan foto atau photocopy motor 
Begal yg ditahan sajamnya bukan foto atau photocopy sajamnya
Kasus narkoba yang ditahan narkobanya bukan foto /photocopy narkoba 

Kasus isi koq bisa ya yang disita barang buktinya PHOTOCOPY 

Jadi besok2 kalau ada razia kasih SIM & STNK PHOTOCOPY saja ya 

Kan pak polisi yang mengajarkan dan memberi contoh kepada kami, bahwa asli & photocopy sama kuat bisa jadi barang bukti",analogi prosedural barang bukti fotocopy
UgzZzQzb6HNFOkw2gNN4AaABAg,Negatif,Netral,Yg jelas Egi dan damai Lubis manusia munapik alias membohongi rakyat,"serang pembela munafik, tanpa verdict"
UgziUeDl1rarDOOZe_Z4AaABAg,Negatif,Netral,"Jokowi tetap org tua kami,roy  apanya utk kami ga ada,jokowi di ganggu akan berhadapan dgn rakyat ,rakyat tetap dukung JOKOWI","dukung Jokowi politik, tanpa klaim"
UgwvdzFFs19WJyt-Ygd4AaABAg,Negatif,Positif,Betul judulnya.. Jika ada org yg mengatakan ijazah kita palsu.. Perlihatkan kpd publik.. ORANG WARAS BUKANNYA MEMPERLIHATKAN IJAZAH JIUSTRU MERASA TERHINA DAN MARAH,"tuntut perlihatkan, insinuasi nutupi"
UgyILxYGbeAzCX4wVr54AaABAg,Negatif,Netral,Hakim cerdas. roy cs siap2 pakai baju oren,penjara penuduh tanpa kata isu
