param_clf__C,param_tfidf__min_df,param_tfidf__ngram_range,mean_test_score,std_test_score,rank_test_score
1.0,2,"(1, 2)",0.826877546784406,0.0,1
0.5,2,"(1, 2)",0.826871372540546,0.0,2
1.0,3,"(1, 2)",0.8259899922660284,0.0,3
2.0,2,"(1, 2)",0.8231640482279868,0.0,4
0.5,3,"(1, 2)",0.8195026934738717,0.0,5
2.0,1,"(1, 2)",0.8190761784511785,0.0,6
2.0,3,"(1, 2)",0.8190335772270844,0.0,7
1.0,1,"(1, 2)",0.8174676237967377,0.0,8
0.1,3,"(1, 2)",0.8168892842067176,0.0,9
0.1,2,"(1, 2)",0.8119539152737559,0.0,10
0.5,1,"(1, 2)",0.8107458513708513,0.0,11
0.1,1,"(1, 1)",0.8045534502694124,0.0,12
0.5,1,"(1, 1)",0.8034238834217767,0.0,13
0.1,1,"(1, 2)",0.8031126031885045,0.0,14
0.5,2,"(1, 1)",0.8009536151920615,0.0,15
0.1,2,"(1, 1)",0.7969935733717897,0.0,16
0.1,3,"(1, 1)",0.7937561484305427,0.0,17
0.5,3,"(1, 1)",0.7935379731718405,0.0,18
1.0,1,"(1, 1)",0.7935196671214518,0.0,19
1.0,2,"(1, 1)",0.7828822670927934,0.0,20
1.0,3,"(1, 1)",0.7824561299052123,0.0,21
2.0,1,"(1, 1)",0.7822669834813389,0.0,22
2.0,3,"(1, 1)",0.7788970660891668,0.0,23
2.0,2,"(1, 1)",0.7755567857257469,0.0,24
