metric_path,value,value_type
n_total,14107,int
class_distribution.Negatif,5531,int
class_distribution.Netral,3060,int
class_distribution.Positif,5516,int
length.avg_words.raw,15.3,float
length.avg_words.svm,11.61,float
length.avg_words.bert,15.19,float
length.median_words.raw,11,int
length.median_words.svm,8,int
length.median_words.bert,11,int
length.max_words.raw,689,int
length.max_words.svm,540,int
vocab.vocab_size,14844,int
vocab.top_terms[0][0],tidak,str
vocab.top_terms[0][1],4760,int
vocab.top_terms[1][0],jokowi,str
vocab.top_terms[1][1],2891,int
vocab.top_terms[2][0],roy,str
vocab.top_terms[2][1],2786,int
vocab.top_terms[3][0],orang,str
vocab.top_terms[3][1],2448,int
vocab.top_terms[4][0],ijazah,str
vocab.top_terms[4][1],2173,int
vocab.top_terms[5][0],kalau,str
vocab.top_terms[5][1],1931,int
vocab.top_terms[6][0],palsu,str
vocab.top_terms[6][1],1462,int
vocab.top_terms[7][0],benar,str
vocab.top_terms[7][1],1359,int
vocab.top_terms[8][0],asli,str
vocab.top_terms[8][1],1314,int
vocab.top_terms[9][0],rakyat,str
vocab.top_terms[9][1],1252,int
vocab.top_terms[10][0],jadi,str
vocab.top_terms[10][1],1194,int
vocab.top_terms[11][0],pak,str
vocab.top_terms[11][1],1157,int
quality.n_total,14107,int
quality.svm_empty,73,int
quality.svm_empty_pct,0.52,float
quality.svm_duplicate,204,int
quality.svm_duplicate_pct,1.45,float
leakage_v5.id_overlap,0,int
leakage_v5.duplicate_text_across_splits,61,int
leakage_v5.rows_affected,198,int
discriminative_terms.Negatif[0][0],cela,str
discriminative_terms.Negatif[0][1],2.48,float
discriminative_terms.Negatif[0][2],6,int
discriminative_terms.Negatif[1][0],haaa,str
discriminative_terms.Negatif[1][1],2.48,float
discriminative_terms.Negatif[1][2],6,int
discriminative_terms.Negatif[2][0],kdrun,str
discriminative_terms.Negatif[2][1],2.48,float
discriminative_terms.Negatif[2][2],30,int
discriminative_terms.Negatif[3][0],uh,str
discriminative_terms.Negatif[3][1],2.48,float
discriminative_terms.Negatif[3][2],6,int
discriminative_terms.Negatif[4][0],cerewet,str
discriminative_terms.Negatif[4][1],2.48,float
discriminative_terms.Negatif[4][2],6,int
discriminative_terms.Negatif[5][0],cocotnya,str
discriminative_terms.Negatif[5][1],2.48,float
discriminative_terms.Negatif[5][2],6,int
discriminative_terms.Negatif[6][0],egois,str
discriminative_terms.Negatif[6][1],2.48,float
discriminative_terms.Negatif[6][2],6,int
discriminative_terms.Negatif[7][0],link,str
discriminative_terms.Negatif[7][1],2.48,float
discriminative_terms.Negatif[7][2],12,int
discriminative_terms.Negatif[8][0],kerok,str
discriminative_terms.Negatif[8][1],2.48,float
discriminative_terms.Negatif[8][2],6,int
discriminative_terms.Negatif[9][0],kadrun,str
discriminative_terms.Negatif[9][1],2.48,float
discriminative_terms.Negatif[9][2],6,int
discriminative_terms.Negatif[10][0],adudomba,str
discriminative_terms.Negatif[10][1],2.48,float
discriminative_terms.Negatif[10][2],12,int
discriminative_terms.Negatif[11][0],watu,str
discriminative_terms.Negatif[11][1],2.48,float
discriminative_terms.Negatif[11][2],6,int
discriminative_terms.Netral[0][0],pantura,str
discriminative_terms.Netral[0][1],6.4,float
discriminative_terms.Netral[0][2],5,int
discriminative_terms.Netral[1][0],judol,str
discriminative_terms.Netral[1][1],6.4,float
discriminative_terms.Netral[1][2],5,int
discriminative_terms.Netral[2][0],keping,str
discriminative_terms.Netral[2][1],6.4,float
discriminative_terms.Netral[2][2],5,int
discriminative_terms.Netral[3][0],ajeg,str
discriminative_terms.Netral[3][1],6.4,float
discriminative_terms.Netral[3][2],5,int
discriminative_terms.Netral[4][0],kusir,str
discriminative_terms.Netral[4][1],5.49,float
discriminative_terms.Netral[4][2],6,int
discriminative_terms.Netral[5][0],perilaku,str
discriminative_terms.Netral[5][1],5.34,float
discriminative_terms.Netral[5][2],5,int
discriminative_terms.Netral[6][0],samar,str
discriminative_terms.Netral[6][1],5.34,float
discriminative_terms.Netral[6][2],5,int
discriminative_terms.Netral[7][0],berlian,str
discriminative_terms.Netral[7][1],5.34,float
discriminative_terms.Netral[7][2],5,int
discriminative_terms.Netral[8][0],banjir,str
discriminative_terms.Netral[8][1],5.24,float
discriminative_terms.Netral[8][2],9,int
discriminative_terms.Netral[9][0],paris,str
discriminative_terms.Netral[9][1],5.24,float
discriminative_terms.Netral[9][2],9,int
discriminative_terms.Netral[10][0],bandara,str
discriminative_terms.Netral[10][1],5.12,float
discriminative_terms.Netral[10][2],4,int
discriminative_terms.Netral[11][0],mefitnah,str
discriminative_terms.Netral[11][1],5.12,float
discriminative_terms.Netral[11][2],4,int
discriminative_terms.Positif[0][0],gembong,str
discriminative_terms.Positif[0][1],2.27,float
discriminative_terms.Positif[0][2],6,int
discriminative_terms.Positif[1][0],neo,str
discriminative_terms.Positif[1][1],2.27,float
discriminative_terms.Positif[1][2],5,int
discriminative_terms.Positif[2][0],photocopy,str
discriminative_terms.Positif[2][1],2.27,float
discriminative_terms.Positif[2][2],6,int
discriminative_terms.Positif[3][0],font,str
discriminative_terms.Positif[3][1],2.27,float
discriminative_terms.Positif[3][2],6,int
discriminative_terms.Positif[4][0],khozinuddin,str
discriminative_terms.Positif[4][1],2.27,float
discriminative_terms.Positif[4][2],5,int
discriminative_terms.Positif[5][0],karbon,str
discriminative_terms.Positif[5][1],2.27,float
discriminative_terms.Positif[5][2],5,int
discriminative_terms.Positif[6][0],kebukak,str
discriminative_terms.Positif[6][1],2.27,float
discriminative_terms.Positif[6][2],5,int
discriminative_terms.Positif[7][0],stnk,str
discriminative_terms.Positif[7][1],2.27,float
discriminative_terms.Positif[7][2],5,int
discriminative_terms.Positif[8][0],iming,str
discriminative_terms.Positif[8][1],2.27,float
discriminative_terms.Positif[8][2],6,int
discriminative_terms.Positif[9][0],subtansi,str
discriminative_terms.Positif[9][1],2.27,float
discriminative_terms.Positif[9][2],5,int
discriminative_terms.Positif[10][0],potocopy,str
discriminative_terms.Positif[10][1],2.27,float
discriminative_terms.Positif[10][2],5,int
discriminative_terms.Positif[11][0],asrul,str
discriminative_terms.Positif[11][1],2.27,float
discriminative_terms.Positif[11][2],8,int
